pipeline,readout,contrast,n_birds,positive_count,zero_count,negative_count,mean,median,q1,q3,min,max,zero_bird_ids,negative_bird_ids,initial_count_check
birdnet,linear,B_minus_A,107,106,0,1,0.62386124792243258,0.65520626041153063,0.46899489045494769,0.79546445771290974,-0.25202096440823052,1,,ty70009,match
birdnet,linear,B_minus_C,107,106,1,0,0.70544571120082977,0.7599698576700864,0.58770517276428991,0.85937286397812707,0,1,ty70701,,match
birdnet,centroid,B_minus_A,107,103,1,3,0.5254415042392887,0.55891265046596328,0.34821681393393605,0.70208966197990064,-0.19918318782566999,1,vz31466,te80930;ty68197;ty70009,not_applicable
birdnet,centroid,B_minus_C,107,105,1,1,0.55928532829978228,0.56510271024962988,0.42149983764653798,0.74319681870719156,-0.0050528129836502206,1,vz31466,ty69479,not_applicable
perch,linear,B_minus_A,107,107,0,0,0.73451925076920366,0.77076423272957362,0.625424938958697,0.91323478288104543,0.037037037037037042,1,,,match
perch,linear,B_minus_C,107,107,0,0,0.78164717680923734,0.83004415069632442,0.66261503782518139,0.92546428287914362,0.0043859649122807058,1,,,match
perch,centroid,B_minus_A,107,106,1,0,0.51465682389076328,0.50610277921217539,0.36231736037901069,0.69039896157745118,0,0.97807017543859642,ts47913,,not_applicable
perch,centroid,B_minus_C,107,106,1,0,0.52730891469601038,0.5115745799047724,0.39452466258296126,0.69627587981895256,0,0.97807017543859642,ts47913,,not_applicable
