pipeline,readout,contrast,bird_id,panel_count,mean_contribution,sign
birdnet,linear,B_minus_A,vz31906,12,0.17462575230181612,positive
birdnet,linear,B_minus_A,vz32978,12,0.56191574126356736,positive
birdnet,linear,B_minus_A,vz33158,12,0.72210681747167371,positive
birdnet,linear,B_minus_A,vz33280,12,0.68644806024116367,positive
birdnet,linear,B_minus_A,vz33342,12,0.43811127664506305,positive
birdnet,linear,B_minus_A,vz33544,12,0.45313772771203115,positive
birdnet,linear,B_minus_A,vz33661,12,0.94665404040404033,positive
birdnet,linear,B_minus_A,vz33688,12,0.2249289280323763,positive
birdnet,linear,B_minus_A,vz33691,12,0.46355101908556801,positive
birdnet,linear,B_minus_A,vz33700,12,0.83427904373244399,positive
birdnet,linear,B_minus_A,vz33851,12,0.92372598162071851,positive
birdnet,linear,B_minus_A,vz33887,12,0.67194929253752778,positive
birdnet,linear,B_minus_A,vz33890,12,0.79783404589906137,positive
birdnet,linear,B_minus_A,vz33899,12,0.73183883776413483,positive
birdnet,linear,B_minus_C,pf71373,12,0.69216283105387966,positive
birdnet,linear,B_minus_C,pf71395,12,0.66297865960356894,positive
birdnet,linear,B_minus_C,pf71411,12,0.86729411947197788,positive
birdnet,linear,B_minus_C,pf71904,12,0.76517601760589116,positive
birdnet,linear,B_minus_C,pf71915,12,0.85967570441254637,positive
birdnet,linear,B_minus_C,pf71937,12,0.80193744164332392,positive
birdnet,linear,B_minus_C,pf72101,12,0.61909763782828797,positive
birdnet,linear,B_minus_C,pf72506,12,0.61556733474020797,positive
birdnet,linear,B_minus_C,pf72509,12,0.95848396243133083,positive
birdnet,linear,B_minus_C,pf72510,12,0.86929000890974251,positive
birdnet,linear,B_minus_C,pf72514,12,0.56411388319283051,positive
birdnet,linear,B_minus_C,pf72561,12,1,positive
birdnet,linear,B_minus_C,pf72730,12,1,positive
birdnet,linear,B_minus_C,pf72757,12,0.80377312865057959,positive
birdnet,linear,B_minus_C,te80906,12,0.87626692865621392,positive
birdnet,linear,B_minus_C,te80930,12,0.66645932033422417,positive
birdnet,linear,B_minus_C,tj26850,12,0.77890559408933357,positive
birdnet,linear,B_minus_C,tl38410,12,0.97829131652661072,positive
birdnet,linear,B_minus_C,tl38650,12,0.78037172167606961,positive
birdnet,linear,B_minus_C,tl38664,12,0.65363656811025217,positive
birdnet,linear,B_minus_C,tr43216,12,0.69572637594149278,positive
birdnet,linear,B_minus_C,tr43324,12,0.95905483405483405,positive
birdnet,linear,B_minus_C,tr43332,12,0.85297053021511227,positive
birdnet,linear,B_minus_C,tr43333,12,0.76280540205410208,positive
birdnet,linear,B_minus_C,tr43342,12,0.44163491306294905,positive
birdnet,linear,B_minus_C,ts47913,12,0.75575598134808664,positive
birdnet,linear,B_minus_C,ts47968,12,0.80970508959639398,positive
birdnet,linear,B_minus_C,tv26548,12,0.80420515552683425,positive
birdnet,linear,B_minus_C,tv44361,12,0.66431946157823352,positive
birdnet,linear,B_minus_C,tw41613,12,0.71527955914880825,positive
birdnet,linear,B_minus_C,tw41667,12,0.79925982554405195,positive
birdnet,linear,B_minus_C,tw41728,12,0.5136162129696612,positive
birdnet,linear,B_minus_C,tw41833,12,0.87667748917748922,positive
birdnet,linear,B_minus_C,tw41850,12,0.90151859116389998,positive
birdnet,linear,B_minus_C,tw41881,12,0.6556617680179061,positive
