panel,pipeline,readout,hyperparameter,macro_f1_D,macro_f1_A,macro_f1_B,macro_f1_C,B_minus_C,B_minus_A
panel004,birdnet,knn,1,0.9889028007572032,0.11901231577785583,0.9332851499621532,0.06528066451050456,0.8680044854516487,0.8142728341842973
panel004,birdnet,linear_frozen,100.0,0.9952060837451886,0.3530540024637287,0.9307378647928061,0.25932160419259404,0.6714162606002121,0.5776838623290774
panel004,birdnet,mlp,0.01,0.9914368985084531,0.30406574647591833,0.9383092458320504,0.2350377826491899,0.7032714631828605,0.6342434993561321
panel005,birdnet,centroid_frozen,,0.797599057289255,0.16568129686355076,0.6918825526524335,0.11306964132723418,0.5788129113251993,0.5262012557888827
panel005,birdnet,knn,1,0.9887760324061357,0.11904256099086712,0.9170806693705714,0.06724854361627673,0.8498321257542947,0.7980381083797043
panel005,birdnet,linear_frozen,10.0,0.9962523130255546,0.29594871852212556,0.9516605436847277,0.1986523754767018,0.753008168208026,0.6557118251626022
panel005,birdnet,mlp,0.01,0.9943642737543378,0.27974373885052894,0.9391533333995495,0.17204528780481926,0.7671080455947303,0.6594095945490206
panel006,birdnet,centroid_frozen,,0.7904641266328386,0.12632582820808788,0.6998627728100949,0.13496872914960892,0.564894043660486,0.573536944602007
panel006,birdnet,knn,1,0.9830096886098688,0.07678169607834401,0.9328385529122286,0.06707273036493286,0.8657658225472957,0.8560568568338847
panel006,birdnet,linear_frozen,10.0,0.9933868940263431,0.24823273431610235,0.9300801286478154,0.20564434502871187,0.7244357836191035,0.681847394331713
panel006,birdnet,mlp,0.01,0.9886951164373694,0.22750672127174407,0.9063181442325188,0.19114554875656503,0.7151725954759538,0.6788114229607747
panel007,birdnet,centroid_frozen,,0.8485961062212545,0.14343977379008643,0.711654121131139,0.11884793437554603,0.5928061867555929,0.5682143473410526
panel007,birdnet,knn,1,0.9944189275227151,0.11427094430200527,0.9350687809875913,0.0656285593354122,0.869440221652179,0.820797836685586
panel007,birdnet,linear_frozen,10.0,0.9981261565127771,0.317304086488458,0.9502361921286621,0.25419349495408106,0.696042697174581,0.6329321056402041
panel007,birdnet,mlp,0.01,0.9971892347691659,0.2643243704024061,0.9479005159330621,0.2150927861795111,0.732807729753551,0.683576145530656
panel008,birdnet,centroid_frozen,,0.7907981200596149,0.153153809297324,0.6747463461308701,0.10757603360819676,0.5671703125226734,0.5215925368335461
