pipeline,bird_id,mean_B_minus_C,n_config,mean_train_clips,train_song_types
birdnet,pf71373,0.6921628310538797,12,310.0,6
birdnet,pf71395,0.6629786596035689,12,190.33333333333334,3
birdnet,pf71411,0.8672941194719779,12,135.5,5
birdnet,pf71904,0.7651760176058912,12,235.08333333333334,4
birdnet,pf71915,0.8596757044125464,12,256.5833333333333,6
birdnet,pf71937,0.8019374416433239,12,66.66666666666667,3
birdnet,pf72101,0.619097637828288,12,208.5,2
birdnet,pf72506,0.615567334740208,12,105.33333333333333,6
birdnet,pf72509,0.9584839624313308,12,91.66666666666667,4
birdnet,pf72510,0.8692900089097425,12,396.0,7
birdnet,pf72514,0.5641138831928305,12,237.0,5
birdnet,pf72561,1.0,12,63.0,3
birdnet,pf72730,1.0,12,82.0,2
birdnet,pf72757,0.8037731286505796,12,382.5,2
birdnet,te80906,0.8762669286562139,12,284.4166666666667,2
birdnet,te80930,0.6664593203342242,12,140.91666666666666,6
birdnet,tj26850,0.7789055940893336,12,288.9166666666667,4
birdnet,tl38410,0.9782913165266107,12,231.25,3
birdnet,tl38650,0.7803717216760696,12,309.5833333333333,4
birdnet,tl38664,0.6536365681102522,12,216.66666666666666,4
birdnet,tr43216,0.6957263759414928,12,103.5,4
birdnet,tr43324,0.959054834054834,12,78.0,4
birdnet,tr43332,0.8529705302151123,12,151.91666666666666,3
birdnet,tr43333,0.7628054020541021,12,280.3333333333333,4
birdnet,tr43342,0.44163491306294905,12,239.5,3
birdnet,ts47913,0.7557559813480866,12,76.0,2
birdnet,ts47968,0.809705089596394,12,145.25,3
birdnet,tv26548,0.8042051555268342,12,410.3333333333333,7
birdnet,tv44361,0.6643194615782335,12,571.0833333333334,8
birdnet,tw41613,0.7152795591488083,12,259.9166666666667,6
birdnet,tw41667,0.799259825544052,12,168.83333333333334,9
birdnet,tw41728,0.5136162129696612,12,102.5,3
birdnet,tw41833,0.8766774891774892,12,84.5,3
birdnet,tw41850,0.9015185911639,12,135.5,6
birdnet,tw41881,0.6556617680179061,12,189.66666666666666,4
birdnet,tw41893,0.7034317302411606,12,131.75,2
birdnet,ty68001,0.9247145641882484,12,124.33333333333333,4
birdnet,ty68090,0.9148391812865498,12,129.83333333333334,4
birdnet,ty68169,0.6844473032688136,12,244.58333333333334,6
birdnet,ty68197,0.46538785689714485,12,149.25,4
birdnet,ty68250,0.8990614952786006,12,175.41666666666666,4
birdnet,ty68256,0.7703040333623069,12,197.0,3
birdnet,ty68266,0.7475985649760605,12,180.75,2
birdnet,ty68269,0.8394607843137255,12,147.66666666666666,2
birdnet,ty68288,0.8798719634052451,12,201.66666666666666,4
birdnet,ty68290,0.9528393755367439,12,60.5,3
birdnet,ty68302,0.5955514216990676,12,398.0833333333333,8
birdnet,ty68314,0.4449334871553814,12,371.5833333333333,5
birdnet,ty68356,0.7822918627266452,12,36.5,2
birdnet,ty68365,0.7526442368547631,12,131.33333333333334,2
birdnet,ty68368,0.43954430390357163,12,64.41666666666667,4
birdnet,ty68410,0.8857453536801363,12,47.5,4
birdnet,ty68701,0.569293286893318,12,81.66666666666667,5
birdnet,ty68797,0.8479407166907168,12,214.08333333333334,2
birdnet,ty68817,0.14735107227367292,12,109.25,5
birdnet,ty69095,0.8708236208236207,12,55.0,1
birdnet,ty69215,0.40911153559656155,12,808.0833333333334,6
birdnet,ty69216,0.4919716106553725,12,359.5833333333333,6
birdnet,ty69429,0.6526674119940373,12,103.58333333333333,4
birdnet,ty69450,0.5798589238295121,12,401.3333333333333,6
birdnet,ty69456,0.7921363386420398,12,278.6666666666667,4
birdnet,ty69457,0.6128253256825195,12,330.75,5
birdnet,ty69479,0.23856942531285538,12,101.0,5
birdnet,ty69494,0.3494980375105677,12,120.0,4
birdnet,ty69500,0.7784391534391535,12,148.0,4
birdnet,ty70009,0.3943315675552517,12,153.33333333333334,5
birdnet,ty70013,0.5798105694519523,12,343.9166666666667,3
birdnet,ty70023,0.648265933031155,12,181.0,4
birdnet,ty70082,0.9700106656628394,12,148.0,3
birdnet,ty70093,0.5320134118817208,12,181.75,3
birdnet,ty70118,0.5077087751429857,12,118.66666666666667,2
birdnet,ty70233,0.6324043429145483,12,113.75,3
birdnet,ty70249,0.5059900768256537,12,102.83333333333333,5
birdnet,ty70291,0.7033041468546436,12,323.5,3
birdnet,ty70575,0.8590700235437078,12,122.91666666666667,2
birdnet,ty70701,0.0,12,354.25,5
birdnet,ty70791,0.6772068715634472,12,149.5,2
birdnet,ty70988,0.809955444432266,12,190.16666666666666,5
birdnet,vb55885,0.8490636725762584,12,360.75,5
birdnet,vs83969,0.8809561969391689,12,103.08333333333333,3
birdnet,vs84180,0.42510274772160855,12,249.41666666666666,5
birdnet,vs84238,0.8492853948162479,12,260.9166666666667,9
birdnet,vs84262,0.827329002219353,12,126.16666666666667,4
birdnet,vz29416,0.4898834498834499,12,350.25,4
birdnet,vz29510,0.9382065564593497,12,105.66666666666667,2
birdnet,vz30799,0.9861111111111112,12,49.0,3
birdnet,vz31403,0.6751689718196268,12,264.1666666666667,6
birdnet,vz31410,0.9841269841269842,12,640.1666666666666,5
birdnet,vz31466,0.8867674980678076,12,38.5,2
birdnet,vz31728,0.3538251978414894,12,794.9166666666666,9
birdnet,vz31742,0.8154266180756743,12,410.5,7
birdnet,vz31749,0.7599698576700864,12,89.33333333333333,4
birdnet,vz31866,0.49591699479857376,12,187.0,5
birdnet,vz31906,0.25282064923604836,12,38.333333333333336,3
birdnet,vz32978,0.7967445688566746,12,80.66666666666667,4
birdnet,vz33158,0.8012261145001084,12,173.0,3
birdnet,vz33280,0.6465615373128721,12,406.3333333333333,8
birdnet,vz33342,0.6569618228157961,12,254.58333333333334,5
birdnet,vz33544,0.14548101345860362,12,101.0,5
birdnet,vz33661,0.980952380952381,12,160.08333333333334,3
birdnet,vz33688,0.4465312640743675,12,150.75,4
birdnet,vz33691,0.4880767352129581,12,99.83333333333333,2
birdnet,vz33700,0.8643651437876771,12,113.5,3
birdnet,vz33851,0.9412193678641048,12,47.333333333333336,3
birdnet,vz33887,0.8162271115250991,12,110.75,5
birdnet,vz33890,0.8172718935018707,12,183.66666666666666,3
birdnet,vz33899,0.7462120659484314,12,241.58333333333334,3
perch,pf71373,0.7004177599056475,12,310.0,6
perch,pf71395,0.9210358672601235,12,190.33333333333334,3
perch,pf71411,0.9482523649190315,12,135.5,5
perch,pf71904,0.8932279576301315,12,235.08333333333334,4
perch,pf71915,0.8450344235813344,12,256.5833333333333,6
perch,pf71937,0.9421797246740039,12,66.66666666666667,3
perch,pf72101,0.7354560416841118,12,208.5,2
perch,pf72506,0.91833353512606,12,105.33333333333333,6
perch,pf72509,0.9775828460038986,12,91.66666666666667,4
perch,pf72510,0.9527417027417027,12,396.0,7
perch,pf72514,0.707880009853694,12,237.0,5
perch,pf72561,1.0,12,63.0,3
perch,pf72730,0.996031746031746,12,82.0,2
perch,pf72757,0.8820674941586236,12,382.5,2
