panel,pipeline,m_exposed,added_clips,selected_c,val_macro_f1,macro_f1_D,macro_f1_A,macro_f1_B,macro_f1_C,B_minus_C,B_minus_A
panel003,birdnet,5,522,10.0,0.9897422459880388,0.9953177335863022,0.9270426617019472,0.9254834470206661,0.8028085439309589,0.12267490308970719,-0.0015592146812810626
panel003,birdnet,10,1015,10.0,0.990262703494942,0.9953177335863022,0.9658113898326224,0.9269264500462521,0.8440690319656936,0.08285741808055846,-0.03888493978637031
panel003,birdnet,20,1917,10.0,0.991295284060383,0.9953177335863022,0.9821241719421748,0.9217488443810398,0.8767119127964099,0.04503693158462985,-0.06037532756113506
panel003,birdnet,0,0,10.0,,0.9953153912819432,0.2974200897237585,0.9363928806864785,0.21688091854763009,0.7195119621388484,0.6389727909627201
panel004,birdnet,1,107,10.0,0.9885529878299325,0.9961976592571773,0.6795815394851618,0.9372199217218358,0.5253402597116186,0.4118796620102172,0.257638382236674
panel004,birdnet,2,214,1.0,0.9896124598810662,0.9952060837451886,0.8023955032066497,0.9445129240106426,0.6624177771237445,0.2820951468868981,0.14211742080399292
panel004,birdnet,5,533,10.0,0.9897503703385967,0.9961976592571773,0.9294319742020278,0.9366373349365928,0.7920287906097039,0.14460854432688897,0.007205360734565014
panel004,birdnet,10,1038,10.0,0.9908937590631233,0.9952060837451886,0.9694885676005385,0.9312437004204113,0.8689826259288257,0.06226107449158558,-0.03824486718012721
panel004,birdnet,20,1991,10.0,0.9913669317390592,0.9942691620015771,0.9811270353861085,0.9328486211596164,0.9041353811221957,0.028713240037420706,-0.04827841422649204
panel004,birdnet,0,0,100.0,,0.9952060837451886,0.3530540024637287,0.9307378647928061,0.25932160419259404,0.6714162606002121,0.5776838623290774
panel005,birdnet,1,107,10.0,0.989373445953085,0.9953153912819432,0.6662877904122811,0.9513903447963327,0.4419250845593145,0.5094652602370182,0.2851025543840515
panel005,birdnet,2,213,10.0,0.9880816112443869,0.9962523130255546,0.8267164519545469,0.9503558869432442,0.607233565399224,0.3431223215440202,0.12363943498869734
panel005,birdnet,5,530,100.0,0.9913811812336799,0.9934415477947205,0.9508043884429118,0.9260686854822868,0.7665761955375467,0.15949248994474008,-0.024735702960624995
panel005,birdnet,10,1029,10.0,0.9914431011025406,0.9962523130255546,0.9672231375870689,0.9432038992553293,0.8189760668111841,0.12422783244414526,-0.02401923833173958
panel005,birdnet,20,1979,10.0,0.99086169137182,0.9943642737543378,0.9798200980820119,0.9416587720049904,0.8583151676160509,0.08334360438893951,-0.038161326077021496
panel005,birdnet,0,0,10.0,,0.9962523130255546,0.29594871852212556,0.9516605436847277,0.1986523754767018,0.753008168208026,0.6557118251626022
panel006,birdnet,1,107,10.0,0.9878991019717421,0.9915605354365808,0.6469536220872883,0.9358100419048108,0.5276016550633748,0.408208386841436,0.2888564198175224
panel006,birdnet,2,214,10.0,0.9876850436011864,0.9933915786350612,0.7817240802792184,0.9288142206901021,0.6485604165769998,0.2802538041131023,0.14709014041088375
panel006,birdnet,5,535,10.0,0.9895440350534528,0.9906212713886103,0.9281795266616686,0.9346540655992878,0.8123190681020016,0.12233499749728616,0.006474538937619179
panel006,birdnet,10,1051,10.0,0.991154695492819,0.99245465689145,0.9515598688002741,0.9355403028573214,0.8717428560674293,0.06379744678989208,-0.01601956594295273
panel006,birdnet,20,2006,10.0,0.9912703194003768,0.99438315414705,0.9818890107929149,0.9319182868061828,0.9059526348210629,0.02596565198511991,-0.04997072398673208
panel006,birdnet,0,0,10.0,,0.9933868940263431,0.24823273431610235,0.9300801286478154,0.20564434502871187,0.7244357836191035,0.681847394331713
panel007,birdnet,1,107,1.0,0.9883856900212926,0.9981261565127771,0.6667251842773825,0.9513644034269862,0.5515538308474999,0.3998105725794864,0.2846392191496038
panel007,birdnet,2,212,10.0,0.9883405928888527,0.9981261565127771,0.8098984750441848,0.9566081316332605,0.6745925675128602,0.2820155641204003,0.14670965658907575
panel007,birdnet,5,517,10.0,0.990034787226015,0.9981261565127771,0.9099501981400149,0.952806288105941,0.8219185714238864,0.13088771668205468,0.04285608996592616
panel007,birdnet,10,1001,1.0,0.9914791921182667,0.9981261565127771,0.9503473865368335,0.9535603379196875,0.8817138542367408,0.07184648368294677,0.0032129513828540457
panel007,birdnet,20,1893,10.0,0.9914566524734797,0.9981261565127771,0.9727393581346832,0.9559500853168131,0.9074736443760337,0.04847644094077941,-0.016789272817870016
