pipeline,bird_id,type_task_acc,type_task_n,session_task_acc,session_task_n
perch,pf71411,1.0,48,1.0,48
perch,pf71904,1.0,96,0.9368421052631579,96
perch,pf71915,1.0,68,0.9857142857142858,68
perch,pf71937,1.0,60,0.96,48
perch,pf72101,1.0,64,0.9764705882352942,88
perch,pf72506,1.0,44,0.9469696969696969,58
perch,pf72509,1.0,66,0.967251461988304,92
perch,pf72510,1.0,88,0.9346560846560846,138
perch,pf72514,1.0,106,0.9238095238095237,210
perch,pf72561,1.0,36,1.0,32
perch,pf72730,1.0,36,0.9216666666666666,76
perch,pf72757,1.0,156,1.0,264
perch,te80906,1.0,192,0.9164642375168691,192
perch,te80930,1.0,88,0.9833333333333332,60
perch,tj26850,1.0,112,0.7903333333333333,124
perch,tl38410,1.0,54,0.96,52
perch,tl38650,1.0,164,0.993103448275862,146
perch,tl38664,1.0,128,1.0,66
perch,tr43216,1.0,126,0.9384615384615385,64
perch,tr43324,1.0,54,1.0,36
perch,tr43332,1.0,100,0.9536796536796537,108
perch,tr43333,1.0,148,0.9446153846153846,126
perch,tr43342,1.0,58,0.9318181818181819,58
perch,ts47913,1.0,42,1.0,30
perch,ts47968,1.0,124,0.9263736263736264,68
perch,tv26548,1.0,136,0.9810483870967742,156
perch,tv44361,1.0,106,0.9182336182336183,134
perch,tw41613,1.0,60,1.0,70
perch,tw41667,1.0,72,0.9833333333333332,60
perch,tw41728,1.0,66,0.9,40
perch,tw41833,1.0,142,0.9862068965517242,142
perch,tw41850,1.0,82,1.0,82
perch,tw41881,1.0,58,1.0,78
perch,tw41893,1.0,92,0.9239766081871345,92
perch,ty68001,1.0,78,1.0,106
perch,ty68090,1.0,92,0.9454545454545455,56
perch,ty68169,1.0,82,0.9619047619047618,106
perch,ty68197,1.0,70,1.0,56
perch,ty68250,1.0,64,0.8428571428571429,70
perch,ty68256,1.0,146,0.9726436781609197,146
perch,ty68266,1.0,116,1.0,130
perch,ty68269,1.0,46,0.8879291251384276,214
perch,ty68288,1.0,108,0.9777777777777779,92
perch,ty68290,1.0,50,0.9200000000000002,50
perch,ty68302,1.0,100,0.980952380952381,106
perch,ty68314,1.0,52,1.0,80
perch,ty68356,1.0,36,1.0,42
perch,ty68365,1.0,124,0.9833333333333334,124
perch,ty68368,1.0,64,0.9857142857142858,74
perch,ty68410,1.0,80,0.9616666666666667,78
perch,ty68701,1.0,52,0.9647058823529413,86
perch,ty68797,1.0,102,0.9906976744186047,216
perch,ty68817,1.0,54,0.9254545454545455,54
perch,ty69095,1.0,28,0.8663157894736843,98
perch,ty69215,1.0,200,0.9797435897435898,198
perch,ty69216,1.0,70,0.9454545454545455,108
perch,ty69429,1.0,74,1.0,106
perch,ty69450,1.0,74,0.967251461988304,92
perch,ty69456,1.0,70,0.9866666666666667,76
perch,ty69457,1.0,100,0.9283076923076923,126
perch,ty69479,1.0,72,0.7214285714285714,36
perch,ty69494,1.0,62,0.8125356125356126,134
perch,ty69500,1.0,56,1.0,112
perch,ty70009,1.0,74,0.9723809523809525,74
perch,ty70013,1.0,140,0.9349206349206349,138
perch,ty70023,1.0,72,0.9888888888888889,88
perch,ty70082,1.0,102,0.984,126
perch,ty70093,1.0,68,0.7670329670329672,68
perch,ty70118,1.0,96,1.0,100
perch,ty70233,1.0,44,1.0,46
perch,ty70249,1.0,52,0.9,70
perch,ty70291,1.0,92,0.9666666666666666,92
perch,ty70575,1.0,68,0.9870967741935484,156
perch,ty70701,1.0,82,0.9818181818181818,164
perch,ty70791,1.0,54,1.0,54
perch,ty70988,1.0,94,0.9076923076923077,130
perch,vb55885,1.0,138,0.9935483870967742,156
perch,vs83969,1.0,88,0.9368421052631579,94
perch,vs84180,1.0,108,1.0,108
perch,vs84238,0.99,100,0.9733333333333334,76
perch,vs84262,1.0,48,1.0,48
perch,vz29416,1.0,82,0.980952380952381,106
perch,vz29510,1.0,90,0.9718614718614719,106
perch,vz30799,1.0,30,0.7825,78
perch,vz31403,1.0,90,0.9875,76
perch,vz31410,1.0,116,1.0,120
perch,vz31466,1.0,74,0.9846153846153847,62
perch,vz31728,0.9862068965517242,144,0.8539999999999999,124
perch,vz31742,1.0,90,0.9514705882352942,84
perch,vz31749,1.0,146,0.8994708994708995,138
perch,vz31866,1.0,78,0.9084967320261438,88
perch,vz31906,1.0,46,0.95,58
perch,vz32978,1.0,110,1.0,86
perch,vz33158,1.0,72,0.9800000000000001,52
perch,vz33280,1.0,106,0.8957142857142857,278
perch,vz33342,1.0,120,0.9681451612903226,156
perch,vz33544,1.0,38,1.0,30
perch,vz33661,1.0,158,0.9780423280423282,136
perch,vz33688,1.0,76,1.0,76
perch,vz33691,1.0,108,0.95,100
perch,vz33700,1.0,68,0.9888888888888889,90
perch,vz33851,1.0,38,0.72,50
perch,vz33887,1.0,122,0.8078947368421053,98
perch,vz33890,1.0,228,0.8950000000000001,200
perch,vz33899,1.0,98,0.9739784946236559,154
