panel,pipeline,m_swapped,added,removed,train_size,base_train_size,selected_c,val_macro_f1,macro_f1_D,macro_f1_A,macro_f1_B,macro_f1_C,B_minus_C,frozen_B_minus_C
panel011,birdnet,5,529,529,22319,22319,1.0,0.9900452117069509,0.9981261565127771,0.9354869242739523,0.933442361534594,0.8064783021411377,0.12696405939345634,0.6835028009358519
panel011,birdnet,20,2014,2013,22320,22319,100.0,0.9892601217049375,0.994404731738721,0.9811801690074888,0.9226580448115026,0.9061443041378999,0.016513740673602673,0.6835028009358519
panel012,birdnet,5,524,524,21625,21625,100.0,0.9885191779828778,0.9934273520107263,0.9355551948156328,0.9366745376479897,0.8157783636288987,0.12089617401909103,0.7018027218213916
panel012,birdnet,20,1907,1902,21630,21625,10.0,0.989380201055301,0.9924435841799344,0.9683064978772757,0.9385802561651062,0.895390644730215,0.043189611434891195,0.7018027218213916
panel001,perch,5,527,527,22276,22276,1.0,0.9837342187262864,0.9981261565127771,0.8638236039058845,0.9350228484229425,0.7565785446172861,0.17844430380565635,0.7879404133374691
panel001,perch,20,2016,2015,22277,22276,1.0,0.9847699068516711,0.993435806852664,0.9701943203960746,0.920057030565168,0.8770206908151915,0.04303633974997645,0.7879404133374691
panel002,perch,5,531,531,22495,22495,10.0,0.9846162639166927,0.9912766729908884,0.8918338817087469,0.945923460591439,0.7770039269760305,0.16891953361540846,0.7558930696268813
panel002,perch,20,1982,1982,22495,22495,10.0,0.9847634442255038,0.9905171119111689,0.9828379004719389,0.9359574174160531,0.9046886647672215,0.031268752648831555,0.7558930696268813
panel003,perch,5,522,522,22357,22357,10.0,0.9833409996368296,0.992490430267115,0.8852657379035377,0.9363663527141964,0.6997597743465692,0.23660657836762722,0.8131472894641754
panel003,perch,20,1917,1908,22366,22357,10.0,0.9838888241294373,0.9923953185143545,0.9732706626502473,0.9279814060729641,0.8561767551176321,0.07180465095533195,0.8131472894641754
panel004,perch,5,533,533,21388,21388,10.0,0.9849040431892264,0.9933840385316856,0.9033046838485049,0.9280656862395138,0.7553665537169184,0.1726991325225954,0.7795407909844393
panel004,perch,20,1991,1990,21389,21388,10.0,0.9829686750413684,0.985407401410203,0.9753950947637473,0.9161929432076229,0.886731296665842,0.02946164654178085,0.7795407909844393
panel005,perch,5,530,530,21566,21566,1.0,0.983101420688682,0.9953153912819432,0.8683885678718632,0.9405884385855702,0.6846667887688472,0.25592164981672294,0.7974706055796457
panel005,perch,20,1979,1978,21567,21566,10.0,0.9853507024513257,0.9924927725714741,0.9750769884836556,0.9394577223039942,0.8334848822737282,0.10597284003026597,0.7974706055796457
